N,k,a_list,s_num,s_den,max_num,max_den,OK
7,3,"3 4 5",1,8,3,8,YES
39,2,"3 32",6,35,17,35,YES
37,4,"4 9 20 27",18,47,16,47,YES
15,3,"8 9 13",1,21,8,21,YES
14,4,"3 4 8 11",3,7,2,7,YES
36,8,"10 12 19 26 27 32 34 35",9,67,20,67,YES
27,5,"7 12 15 19 24",7,31,9,31,YES
17,6,"1 3 4 10 14 15",4,9,2,9,YES
6,5,"1 2 3 4 5",1,6,1,6,YES
40,8,"5 7 11 22 27 28 30 34",13,38,9,38,YES
32,7,"12 16 18 20 23 30 31",1,43,12,43,YES
27,5,"3 11 17 20 23",21,43,10,43,YES
9,6,"2 3 4 5 6 7",1,9,2,9,YES
11,2,"3 4",1,7,3,7,YES
15,2,"2 3",1,5,2,5,YES
24,2,"4 10",1,7,3,7,YES
10,4,"1 5 6 9",2,7,2,7,YES
15,8,"1 2 8 9 10 11 12 13",7,20,3,20,YES
31,8,"2 8 12 17 21 23 28 30",16,51,11,51,YES
10,8,"1 2 3 4 5 6 8 9",1,7,1,7,YES
32,6,"3 10 11 12 14 24",10,21,5,21,YES
38,4,"10 18 21 34",4,11,4,11,YES
27,5,"3 4 10 15 23",3,19,7,19,YES
33,8,"8 16 21 23 26 28 29 31",15,37,9,37,YES
22,4,"1 5 7 12",9,19,6,19,YES
